label,area,mean_intensity,centroid_row,centroid_col,area_m2,area_km2
50,2.0,0.3753175139427185,374.0,980.5,200.0,0.0002
54,2.0,0.30862316489219666,405.0,891.5,200.0,0.0002
61,2.0,0.5172383785247803,429.0,995.5,200.0,0.0002
2,1.0,0.3106658160686493,10.0,721.0,100.0,0.0001
27,1.0,0.19208550453186035,265.0,871.0,100.0,0.0001
33,1.0,0.3317740261554718,288.0,882.0,100.0,0.0001
39,1.0,0.2640332579612732,324.0,896.0,100.0,0.0001
66,1.0,0.3302193880081177,504.0,101.0,100.0,0.0001
82,1.0,0.26159921288490295,923.0,796.0,100.0,0.0001
84,1.0,0.2403528094291687,936.0,783.0,100.0,0.0001
